apellido,nombre,nombre_completo,seleccion,fecha_nacimiento,posicion,url_ficha
Van Der Vaart,Rafael,"Van Der Vaart, Rafael",Paises Bajos,11 de febrero de 1983,Mediocampista,https://www.losmundialesdefutbol.com/jugadores/rafael_van_der_vaart.php
Van Der Veen,Frans,"Van Der Veen, Frans",Paises Bajos,25 de marzo de 1919,Delantero,https://www.losmundialesdefutbol.com/jugadores/frans_van_der_veen.php
Van Der Wiel,Gregory,"Van Der Wiel, Gregory",Paises Bajos,3 de febrero de 1988,Defensor,https://www.losmundialesdefutbol.com/jugadores/gregory_van_der_wiel.php
Van Diepenbeek,Jan,"Van Diepenbeek, Jan",Paises Bajos,5 de agosto de 1903,Defensor,https://www.losmundialesdefutbol.com/jugadores/jan_van_diepenbeek.php
Van Dijk,Virgil,Virgil van Dijk,Paises Bajos,8 de julio de 1991,Defensor,https://www.losmundialesdefutbol.com/jugadores/virgil_van_dijk.php
Van Gobbel,Ulrich,"Van Gobbel, Ulrich",Paises Bajos,16 de enero de 1971,Defensor,https://www.losmundialesdefutbol.com/jugadores/ulrich_van_gobbel.php
Van Hanegem,Wim,"Van Hanegem, Wim",Paises Bajos,20 de febrero de 1944,Mediocampista,https://www.losmundialesdefutbol.com/jugadores/wim_van_hanegem.php
Van Hattum,Frank,"Van Hattum, Frank",Nueva Zelanda,17 de noviembre de 1958,Arquero,https://www.losmundialesdefutbol.com/jugadores/frank_van_hattum.php
Van Heel,Puck,"Van Heel, Puck",Paises Bajos,21 de enero de 1904,Mediocampista,https://www.losmundialesdefutbol.com/jugadores/puck_van_heel.php
Van Himst,Paul,"Van Himst, Paul",Bélgica,2 de octubre de 1943,Delantero,https://www.losmundialesdefutbol.com/jugadores/paul_van_himst.php
Van Hooijdonk,Pierre,"Van Hooijdonk, Pierre",Paises Bajos,29 de noviembre de 1969,Delantero,https://www.losmundialesdefutbol.com/jugadores/pierre_van_hooijdonk.php
Van Hoywegen,Luc,"Van Hoywegen, Luc",Bélgica,1 de enero de 1929,Delantero,https://www.losmundialesdefutbol.com/jugadores/luc_van_hoywegen.php
