anio_mundial,equipo_local,equipo_visitante,url_partido,jugador,seleccion_gol,minuto,minuto_num,tipo_gol,tiempo_extra
1966,Inglaterra,Alemania Occidental,1966_inglaterra_alemania_occidental,Wolfgang Weber,Alemania Occidental,89,89,normal,false
1966,Inglaterra,Alemania Occidental,1966_inglaterra_alemania_occidental,Geoff Hurst,Inglaterra,101,101,normal,true
1966,Inglaterra,Alemania Occidental,1966_inglaterra_alemania_occidental,Geoff Hurst,Inglaterra,120,120,normal,true
1970,Inglaterra,Rumania,1970_inglaterra_rumania,Geoff Hurst,Inglaterra,65,65,normal,false
1970,Uruguay,Israel,1970_uruguay_israel,Ildo Maneiro,Uruguay,23,23,normal,false
1970,Uruguay,Israel,1970_uruguay_israel,Juan Mujica,Uruguay,50,50,normal,false
1970,Perú,Bulgaria,1970_peru_bulgaria,Dinko Dermendzhiev,Bulgaria,13,13,normal,false
1970,Perú,Bulgaria,1970_peru_bulgaria,Hristo Bonev,Bulgaria,49,49,normal,false
1970,Perú,Bulgaria,1970_peru_bulgaria,Alberto Gallardo,Perú,50,50,normal,false
1970,Perú,Bulgaria,1970_peru_bulgaria,Hector Chumpitaz,Perú,55,55,normal,false
1970,Perú,Bulgaria,1970_peru_bulgaria,Teofilo Cubillas,Perú,73,73,normal,false
1970,Italia,Suecia,1970_italia_suecia,Angelo Domenghini,Italia,10,10,normal,false
1970,Alemania Occidental,Marruecos,1970_alemania_occidental_marruecos,Houmane Jarir,Marruecos,21,21,normal,false
1970,Alemania Occidental,Marruecos,1970_alemania_occidental_marruecos,Uwe Seeler,Alemania Occidental,56,56,normal,false
1970,Alemania Occidental,Marruecos,1970_alemania_occidental_marruecos,Gerd Mueller,Alemania Occidental,80,80,normal,false
1970,Bélgica,El Salvador,1970_belgica_el_salvador,Wilfried Van Moer,Bélgica,12,12,normal,false
1970,Bélgica,El Salvador,1970_belgica_el_salvador,Wilfried Van Moer,Bélgica,54,54,normal,false
1970,Bélgica,El Salvador,1970_belgica_el_salvador,Raoul Lambert,Bélgica,79,79,penal,false
1970,Brasil,Checoslovaquia,1970_brasil_checoslovaquia,Ladislav Petras,Checoslovaquia,11,11,normal,false
1970,Brasil,Checoslovaquia,1970_brasil_checoslovaquia,Rivelino,Brasil,24,24,normal,false
1970,Brasil,Checoslovaquia,1970_brasil_checoslovaquia,Pelé,Brasil,59,59,normal,false
1970,Brasil,Checoslovaquia,1970_brasil_checoslovaquia,Jairzinho,Brasil,61,61,normal,false
1970,Brasil,Checoslovaquia,1970_brasil_checoslovaquia,Jairzinho,Brasil,83,83,normal,false
1970,Perú,Marruecos,1970_peru_marruecos,Teofilo Cubillas,Perú,65,65,normal,false
1970,Perú,Marruecos,1970_peru_marruecos,Roberto Challe,Perú,67,67,normal,false
1970,Perú,Marruecos,1970_peru_marruecos,Teofilo Cubillas,Perú,75,75,normal,false
