apellido,nombre,nombre_completo,seleccion,fecha_nacimiento,posicion,url_ficha
Sanon,Emmanuel,"Sanon, Emmanuel",Haití,25 de junio de 1951,Delantero,https://www.losmundialesdefutbol.com/jugadores/emmanuel_sanon.php
Sansom,Kenny,"Sansom, Kenny",Inglaterra,26 de septiembre de 1958,Defensor,https://www.losmundialesdefutbol.com/jugadores/kenny_sansom.php
Santa,Jose,"Santa, Jose",Colombia,12 de septiembre de 1970,Defensor,https://www.losmundialesdefutbol.com/jugadores/jose_santa.php
Santa Cruz,Roque,"Santa Cruz, Roque",Paraguay,16 de agosto de 1981,Delantero,https://www.losmundialesdefutbol.com/jugadores/roque_santa_cruz.php
Santamaría,Anderson,Anderson Santamaría Bardales,Perú,10 de enero de 1992,Defensor,https://www.losmundialesdefutbol.com/jugadores/anderson_santamaria.php
Santamaria,Jose,"Santamaria, Jose",Uruguay,31 de julio de 1929,Defensor,https://www.losmundialesdefutbol.com/jugadores/jose_santamaria.php
Santamaria,Santiago,"Santamaria, Santiago",Argentina,22 de agosto de 1952,Delantero,https://www.losmundialesdefutbol.com/jugadores/santiago_santamaria.php
Santana,Jonathan,"Santana, Jonathan",Paraguay,19 de octubre de 1981,Mediocampista,https://www.losmundialesdefutbol.com/jugadores/jonathan_santana.php
Santek,Ivan,"Santek, Ivan",Yugoslavia,23 de abril de 1932,Mediocampista,https://www.losmundialesdefutbol.com/jugadores/ivan_santek.php
,Santillana,Santillana,España,23 de agosto de 1952,Delantero,https://www.losmundialesdefutbol.com/jugadores/santillana.php
Santin,Sergio,"Santin, Sergio",Uruguay,6 de agosto de 1956,Mediocampista,https://www.losmundialesdefutbol.com/jugadores/sergio_santin.php
Santoro,Miguel,"Santoro, Miguel",Argentina,27 de febrero de 1942,Arquero,https://www.losmundialesdefutbol.com/jugadores/miguel_santoro.php
,Santos,Santos,Túnez,20 de marzo de 1979,Delantero,https://www.losmundialesdefutbol.com/jugadores/santos.php
Santos,Alessandro,"Santos, Alessandro",Japón,20 de julio de 1977,"Defensor, Mediocampista",https://www.losmundialesdefutbol.com/jugadores/alessandro_santos.php
Santos,Hector,"Santos, Hector",Uruguay,29 de octubre de 1944,Arquero,https://www.losmundialesdefutbol.com/jugadores/hector_santos.php
Sapara,Marek,"Sapara, Marek",Eslovaquia,31 de julio de 1982,Mediocampista,https://www.losmundialesdefutbol.com/jugadores/marek_sapara.php
Sara,Robert,"Sara, Robert",Austria,9 de junio de 1946,Defensor,https://www.losmundialesdefutbol.com/jugadores/robert_sara.php
